,0,1,2,3,4
2018-12-16 03:02:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:07:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:12:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:22:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:27:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:37:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:42:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:47:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:52:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 03:57:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:02:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:07:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:12:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:17:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:27:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:37:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:42:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:47:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:52:00.026,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 04:57:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:02:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:07:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:12:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:17:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:27:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:37:00.017,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:42:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:47:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:52:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 05:57:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:02:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:07:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:12:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:22:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:27:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:32:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:37:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:42:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:47:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:52:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 06:57:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:02:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:07:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:12:00.025,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:17:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:22:00.018,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:27:00.018,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:32:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:37:00.016,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:42:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:47:00.024,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:52:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 07:57:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:02:00.026,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:07:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:12:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:27:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:32:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:37:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:42:00.019,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:47:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:52:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 08:57:00.015,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:02:00.324,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:07:00.082,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:12:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:22:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:27:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:37:00.019,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:42:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:47:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:52:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 09:57:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:02:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:07:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:12:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
